Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C2, C4",0603,3,0.1uF,
C3,CP_Elec_6.3x5.9,1,47uF,
"D1, D2",0603,2,BLUE,
"D10, D5",0603,2,RED,
"D11, D12, D13, D14, D3, D4",0603,6,GREEN,
"D6, D7",D_SOD-123F,2,1N4007,
J1,Hirose_DF11B-8DP-2DS,1,Conn_01x08,
"J2, J3, J4, J5, J6",Hirose_DF1B,5,Conn_01x02_Pin,
"Q1, Q2",SC-59_Handsoldering,2,Q_NPN_BEC,
"R1, R11, R12, R14, R15",0603,5,120R,
"R10, R17, R20",0603,3,2kR,
"R13, R18, R19, R21, R22",0603,5,300R,
"R16, R26, R27, R30, R31",0603,5,4.7kR,
"R2, R7",0603,2,820R,
"R23, R24",0805,2,10kR,
R25,0603,1,1kR,
R3,0603,1,4.3kR,
R4,0603,1,5.6kR,
"R5, R6",0805,2,100R,
R8,0603,1,750R,
R9,0603,1,3kR,
SW1,SW_DIP_SPSTx02_Piano_10.8x6.64mm_W7.62mm_P2.54mm,1,SW_DIP_x02,
"TP1, TP2, TP3, TP4, TP5, TP6",Pin_D1.0mm_L10.0mm,6,TestPoint,
U1,DIP-8_W7.62mm,1,MCP2562-E-P,
U2,MODULE_NUCLEO-F303K8,1,NUCLEO-F303K8,
"U3, U4",DIP-4_W7.62mm,2,TLP241B,
U5,DIP-8_W7.62mm,1,MB85RS2MT,
